A,B,C,D,E,F,G
1757,0.000207093,0.004556045,30112,0.002870564,0.009829551,0.00044822
1758,0.001610055,0.00436273,22508,-0.005590062,-0.004193632,0.000731152
1759,0.002521614,0.005043228,25961,0.006379668,0.008413836,0.000510684
1760,-0.003229279,0.004561997,18516,0.003028747,0.003447921,0.001339558
1761,-0.000668759,0.002777921,11391,-0.004835391,-0.005689682,0.000853107
1762,-0.000565349,0.005088143,23363,0.001750772,0.003710958,0.00047232
1763,-0.000360008,0.003291504,18294,0.004063786,-0.00066814,0.000227576
1764,0.000667009,0.003540277,21353,0.003806584,0.002880066,0.000368596
1765,-0.00051878,0.004669018,25104,-0.007282051,-0.01159569,0.000147245
1766,-0.001319818,0.00617675,36704,-0.016614746,-0.017119734,-0.0004545
1767,0.008582327,0.015946175,41909,0.006131078,0.000633513,-0.000911702
1768,0.001830257,0.004183444,16185,0.007510504,0.013032422,-0.001034799
1769,-0.002505873,0.004228661,14337,-0.00454071,0.001255033,-0.000486777
1770,0.000154815,0.003405924,4136,0.003664921,0.011067606,-0.000551778
1771,0.003446502,0.005298354,12515,0.003921569,0.003871168,0.000354754
1772,-0.003677034,0.011184311,27670,0.004512821,0.006841564,0.00119439
1773,0.004264721,0.005908951,16459,-0.003076923,-0.00592411,0.001442712
1774,0.000506329,0.001822785,13475,0.013101331,0.014798068,0.00068445
1775,-0.000152107,0.004411094,29731,0.002580972,-0.001012658,0.001226172
1776,0.000860324,0.00354251,18125,0.004107505,0.000811236,0.000742961
1777,0.001373137,0.00249199,12636,-0.00338726,-0.004908907,0.000620564
1778,0.002429396,0.00293552,15723,0.006954315,0.004678838,0.000150545
1779,0,0.001967312,10017,0.002676768,0.003340419,0.000574663
1780,0.005228892,0.006407956,25599,-0.003178607,-0.011482573,0.000116357
1781,0.001579537,0.003108122,14346,0.005612245,0.006049111,-0.000302439
1782,-0.001317189,0.003242312,17216,0.003814852,0.005502904,-9.29E-05
1783,0.00115869,0.002367758,14625,0.005780933,0.005522063,0.000323548
1784,0.00029973,0.002897392,16947,0.003923541,0.00836272,0.000357277
1785,-0.000149343,0.003733572,17742,0.003096903,0.003496853,0.000558169
1786,-0.000198699,0.002881129,20079,-0.001792829,0.001841896,0.001157346
1787,-0.002527505,0.003320448,25557,0.002733598,0.002732105,0.000989057
1788,0.001539149,0.002035649,17186,-0.006908549,-0.001932798,0.000878225
1789,-0.001187766,0.004652084,28876,0.003171457,0.005163597,0.000580031
1790,0.00198393,0.00396786,19601,-0.003964321,-0.0031644,0.000452066
1791,0.000197892,0.003166279,19779,-0.002524752,0.002777502,0.000185616
1792,0.002027495,0.003065968,19426,0.003907023,4.95E-05,0.00022304
1793,-0.001482506,0.004447519,23943,0.003553801,0.000543962,0.000115735
1794,0.001579857,0.002419156,19506,0.003910891,0.000889504,0.000214805
1795,0.004411765,0.004901961,27223,0.001824458,0.006418168,4.38E-05
1796,0.001165445,0.004710338,27181,0.002341463,0.009117647,0.000427144
1797,0.002770083,0.003839238,19861,-0.001648885,-9.71E-05,0.00068075
1798,-4.86E-05,0.002769007,25174,-0.002713178,0.00354765,0.000674886
1799,-0.002244559,0.003415634,27677,-0.009815355,-0.004226378,0.000795034
1800,0.002533125,0.004676539,28198,-0.003816047,-0.002098175,0.000590399
1801,-0.00237968,0.005487834,29410,-0.003790087,0.003215121,0.000249745
1802,0.003606589,0.005897261,33557,0.004040896,-0.003253849,1.36E-05
1803,-0.002229871,0.00382956,23568,0.002378641,0.004971245,-0.000112625
1804,0.002375412,0.003587357,23089,0.002186589,9.70E-05,-5.57E-05
1805,0.000241546,0.003188406,23430,0.003916828,0.003829746,0.000117252
1806,0.000818922,0.002986656,19819,0.003043478,0.003140097,0.000354369
1807,0.001295275,0.003358119,20922,0.00226179,0.004335469,0.000351368
1808,0.001386432,0.002055744,21563,-0.001867816,0.002974334,0.00065494
1809,-0.000475353,0.001663735,18773,0.003008596,0.00573696,0.000575064
1810,-0.001421936,0.003744431,24681,-0.002901998,0.003184865,0.000800664
1811,-0.001129305,0.001693958,22280,0.003133903,0.006730496,0.000774869
1812,-0.000990519,0.003113061,29834,-0.002921772,-0.00235272,0.000918485
1813,-0.000749134,0.001826014,21392,0.003021719,0.004811094,0.000650957
1814,-0.000327378,0.003086708,24696,0.003373946,0.003803888,0.000724428
1815,0.000700607,0.0019617,21768,-0.001637044,0.001028903,0.000647105
1816,-0.005394755,0.005863865,34973,-0.006629318,-0.003829986,0.000560866
1817,-0.001498127,0.004026217,29913,0.004622642,0.002627011,0.000138447
1818,0.0005145,0.001637044,19402,0.001594747,0.001404494,0.000337636
1819,0.00562377,0.007029712,52723,-0.002663551,-0.002385407,0.000201372
1820,0.001718452,0.002647346,24203,-0.001863933,0.009654138,-4.62E-05
1821,-0.000233263,0.002985771,29028,-0.00296846,-0.003344016,0.00029881
1822,-0.002374744,0.005261687,30208,-0.00200747,0.002472592,0.000318249
1823,-0.000420188,0.002941314,19243,-0.002987862,-0.001490035,0.000312072
1824,0.000186916,0.003738318,34914,0.00453271,-0.00093375,0.000196291
1825,0.000419346,0.002143323,2427,0.004485981,0.002429907,0.000254357
1826,0.003629426,0.004885766,27675,-0.003258845,0.000978474,-3.46E-05
1827,-4.64E-05,0.002227792,17433,-0.001762523,0.00251268,0.000138287
1828,-0.002639255,0.003426402,23245,0.002042711,0.002367029,0.000139891
1829,0.001856493,0.002831152,19399,-0.003992572,-0.00254665,0.000294174
1830,0.002446003,0.004615101,31621,-0.002780352,0.006080015,0.000229658
1831,0.001477173,0.00249273,21613,-0.003406998,-0.000369208,0.000375662
1832,-0.000277405,0.00240418,19343,-0.002718894,-0.001338688,0.000321755
1833,0.002723538,0.003923741,21971,0.004255319,0.00208054,0.0001677
1834,0.000328069,0.004124291,47970,-0.007780847,-0.014310114,0.00015624
1835,0.000186376,0.003121797,25843,0.003701968,0.005905235,-0.000314298
1836,0.002286728,0.003406758,24009,-0.003075489,-0.002050135,-0.000321289
